koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
CONFIRMED,1.0,0,0,0,0,1.442592305,4.87e-06,-4.87e-06,134.07188,0.00278,-0.00278,0.207,0.248,-0.207,2.9698,0.0858,-0.0858,166.0,7.1,-7.1,2.67,0.67,-0.91,2700.0,12557.23,9301.91,-7901.93,27.1,1.0,7216.0,203.0,-279.0,3.983,0.28,-0.151,2.043,0.507,-0.697,294.95892,38.591572,11.558
CANDIDATE,0.97,0,0,0,0,31.2543238,0.000357,-0.000357,155.047,0.0102,-0.0102,0.019,0.42,-0.019,5.662,0.223,-0.223,438.0,34.3,-34.3,2.29,0.76,-0.26,635.0,38.54,37.99,-12.89,14.7,1.0,6246.0,173.0,-260.0,4.433,0.054,-0.216,1.092,0.365,-0.122,293.07062,48.387741,15.82
CANDIDATE,0.632,0,0,0,0,13.11896244,6.04e-06,-6.04e-06,261.539434,0.000329,-0.000329,0.042,0.271,-0.042,4.3045,0.0122,-0.0122,372.0,1.5,-1.5,8.25,0.45,-2.5,1768.0,2310.43,419.83,-1290.11,267.4,1.0,7221.0,114.0,-171.0,3.488,0.272,-0.048,4.24,0.227,-1.284,282.00031,48.542221,9.275
FALSE POSITIVE,0.0,0,0,1,0,0.764597756,3.7e-06,-3.7e-06,131.69552,0.00423,-0.00423,0.345,0.128,-0.345,1.119,0.149,-0.149,16.6,1.7,-1.7,0.72,0.12,-0.16,2708.0,12721.72,5872.32,-5342.8,12.0,1.0,6218.0,80.0,-80.0,4.066,0.174,-0.116,1.726,0.308,-0.377,291.2832,37.419601,11.215
FALSE POSITIVE,0.0,0,0,1,1,0.566799395,1.15e-06,-1.15e-06,131.79717,0.00176,-0.00176,0.042,0.455,-0.042,1.5368,0.0614,-0.0614,231.0,8.4,-8.4,1.65,0.53,-0.18,2448.0,8550.93,8184.99,-2725.67,33.7,1.0,6322.0,175.0,-241.0,4.426,0.065,-0.208,1.075,0.349,-0.116,293.26727,42.42807,15.557
FALSE POSITIVE,0.0,0,0,0,1,3.55646511,9.74e-05,-9.74e-05,133.5549,0.025,-0.025,0.344,0.114,-0.344,4.72,1.2,-1.2,46.1,8.4,-8.4,0.56,0.1,-0.08,1076.0,317.0,188.92,-106.41,7.8,1.0,5475.0,179.0,-162.0,4.479,0.121,-0.148,0.818,0.151,-0.11,297.12708,46.282082,14.609
CONFIRMED,0.997,0,0,0,0,14.6672293,5.8e-05,-5.8e-05,145.42058,0.0028,-0.0028,0.596,0.324,-0.37,3.742,0.0894,-0.0894,198.0,6.9,-6.9,1.21,0.15,-0.05,675.0,49.12,18.23,-7.75,30.5,3.0,5677.0,113.0,-113.0,4.563,0.018,-0.108,0.828,0.104,-0.037,294.97351,45.213692,13.58
CONFIRMED,0.559,0,0,0,0,9.93962361,5.54e-05,-5.54e-05,131.58267,0.00421,-0.00421,0.934,0.01,-0.661,3.432,0.103,-0.103,300.0,15.5,-15.5,1.93,0.09,-0.17,722.0,64.29,11.47,-13.88,21.5,3.0,5105.0,84.0,-76.0,4.469,0.09,-0.03,0.868,0.044,-0.076,291.18338,45.32317,14.808
CONFIRMED,0.994,0,0,0,0,8.23983041,4.01e-05,-4.01e-05,137.75528,0.00419,-0.00419,0.012,0.425,-0.012,5.619,0.119,-0.119,251.0,9.1,-9.1,2.35,0.38,-0.47,1093.0,338.17,145.01,-133.09,29.4,1.0,5794.0,78.0,-78.0,4.118,0.182,-0.098,1.496,0.245,-0.299,293.51984,41.277409,15.024
CANDIDATE,,0,0,0,0,559.785594,0.00873,-0.00873,433.1966,0.0146,-0.0146,0.411,0.0489,-0.4108,3.496,0.504,-0.504,275.0,43.5,-43.5,1.88,0.89,-0.24,249.0,0.92,1.28,-0.3,7.3,1.0,6201.0,154.0,-188.0,4.352,0.101,-0.29,1.111,0.528,-0.142,289.68549,50.409229,13.295
CANDIDATE,0.996,0,0,0,0,38.2292037,0.000281,-0.000281,166.01191,0.00647,-0.00647,0.571,0.37,-0.354,3.893,0.178,-0.178,606.0,33.6,-33.6,1.51,0.13,-0.12,359.0,3.92,1.2,-1.0,21.0,1.0,4544.0,121.0,-135.0,4.656,0.048,-0.032,0.598,0.05,-0.05,290.83627,47.444939,14.847
FALSE POSITIVE,,1,0,0,0,606.9148877,,,132.3897061,,,,,,5.96,,,,,,,,,,,,,,1.0,,,,,,,,,,291.6535,41.741772,13.532
CONFIRMED,1.0,0,0,0,0,90.4117992,0.000466,-0.000466,208.5028,0.0038,-0.0038,0.849,0.016,-0.596,7.106,0.169,-0.169,1270.0,37.2,-37.2,3.96,1.22,-0.41,413.0,6.86,6.37,-2.04,35.4,2.0,6004.0,181.0,-199.0,4.484,0.052,-0.208,0.977,0.302,-0.101,294.98914,46.838329,14.957
CANDIDATE,1.0,0,0,0,0,13.33094869,3.7e-05,-3.7e-05,133.78632,0.00228,-0.00228,1.199,6.947,-0.324,1.426,0.133,-0.133,726.0,52.0,-52.0,25.95,7.54,-3.47,815.0,104.37,88.95,-35.0,17.1,1.0,5991.0,161.0,-179.0,4.394,0.105,-0.195,1.039,0.302,-0.139,281.26013,42.40329,14.847
FALSE POSITIVE,0.0,0,1,0,0,4.994773558,1.1e-07,-1.1e-07,136.1744922,1.83e-05,-1.83e-05,0.416,0.005,-0.002,4.48893,0.00068,-0.00068,260000.0,34.4,-34.4,62.69,18.5,-12.3,1264.0,604.21,524.02,-258.91,5742.0,1.0,6253.0,169.0,-188.0,4.271,0.185,-0.185,1.181,0.349,-0.232,282.69977,46.717018,13.038
CONFIRMED,0.989,0,0,0,0,40.5289885,0.000277,-0.000277,168.01669,0.00532,-0.00532,0.325,0.107,-0.325,10.604,0.165,-0.165,361.0,11.3,-11.3,5.92,0.83,-1.54,933.0,178.81,64.88,-86.22,35.3,1.0,6443.0,77.0,-90.0,3.74,0.21,-0.09,3.086,0.432,-0.802,300.34406,45.623219,13.913
CANDIDATE,0.602,0,0,0,0,1.99469354,4.99e-05,-4.99e-05,131.5639,0.0185,-0.0185,0.643,0.33,-0.422,5.297,0.552,-0.552,75.1,10.2,-10.2,0.46,0.02,-0.03,758.0,78.2,14.19,-14.82,8.9,1.0,3799.0,68.0,-68.0,4.738,0.036,-0.021,0.51,0.025,-0.034,291.85205,42.343361,15.846
CONFIRMED,0.96,0,0,0,0,20.49041,0.000175,-0.000175,144.41979,0.00763,-0.00763,0.011,0.44,-0.011,4.369,0.17,-0.17,662.0,33.3,-33.3,2.34,0.67,-0.22,625.0,36.01,31.47,-10.47,23.3,1.0,5681.0,180.0,-200.0,4.524,0.036,-0.204,0.923,0.264,-0.088,296.18829,43.936852,15.93
